method,output,cell,content,style,ssim,lpips,e_ssim,l_c,l_s
ccstytr,000000001818__Minimalism__mario-schifano_untitled-1963.png,000000001818__Minimalism__mario-schifano_untitled-1963,000000001818,Minimalism__mario-schifano_untitled-1963,0.1608179658651352,0.9705508351325989,0.18256400464116895,2.377842903137207,1.4934061765670776
ccstytr,000000001818__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.png,000000001818__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,000000001818,Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping,0.49162986874580383,0.39748549461364746,0.519582048762251,1.7636821269989014,0.6004123091697693
ccstytr,000000001818__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.png,000000001818__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,000000001818,Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507,0.5201860070228577,0.4362025260925293,0.4958056440290123,2.118309259414673,1.2483296394348145
ccstytr,000000001818__Pop_Art__peter-max_composition-red-green-1979.png,000000001818__Pop_Art__peter-max_composition-red-green-1979,000000001818,Pop_Art__peter-max_composition-red-green-1979,0.2874748706817627,0.5363579988479614,0.3063691171124564,2.4192843437194824,1.8947674036026
ccstytr,000000001818__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.png,000000001818__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,000000001818,Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887,0.4953077733516693,0.5065773129463196,0.5072224763185704,2.073810577392578,0.9794058799743652
ccstytr,000000001818__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).png,000000001818__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),000000001818,Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1),0.51213139295578,0.3791748583316803,0.5929879770210817,1.4486992359161377,0.5864763259887695
ccstytr,000000001818__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.png,000000001818__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,000000001818,Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff,0.2689224183559418,0.4866805672645569,0.4571263365570553,1.4597694873809814,0.7495632171630859
ccstytr,000000001818__Romanticism__gustave-dore_paradise-lost-4.png,000000001818__Romanticism__gustave-dore_paradise-lost-4,000000001818,Romanticism__gustave-dore_paradise-lost-4,0.4862104654312134,0.29834192991256714,0.6572533422270919,1.1796398162841797,1.0948028564453125
ccstytr,000000001818__Symbolism__nicholas-roerich_language-of-forest-1922.png,000000001818__Symbolism__nicholas-roerich_language-of-forest-1922,000000001818,Symbolism__nicholas-roerich_language-of-forest-1922,0.4859110116958618,0.47448402643203735,0.6009969771783916,1.9783086776733398,0.8266801834106445
ccstytr,000000001818__Ukiyo_e__kitagawa-utamaro_not_detected_233134.png,000000001818__Ukiyo_e__kitagawa-utamaro_not_detected_233134,000000001818,Ukiyo_e__kitagawa-utamaro_not_detected_233134,0.4081782400608063,0.518731951713562,0.43281793602308044,2.1391124725341797,1.2156459093093872
ccstytr,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703.png,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703,000000009448,Abstract_Expressionism__paul-jenkins_not_detected_235703,0.504707396030426,0.3198421597480774,0.6041634533132398,0.9677938222885132,0.9645031690597534
ccstytr,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914.png,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914,000000009448,Art_Nouveau_Modern__nicholas-roerich_oze-1914,0.48625555634498596,0.4303894639015198,0.6139045619566085,1.1885056495666504,1.014374017715454
ccstytr,000000009448__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.png,000000009448__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,000000009448,Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641,0.3215945363044739,0.5739833116531372,0.5559742160748455,1.141698956489563,0.592795729637146
ccstytr,000000009448__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.png,000000009448__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,000000009448,Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978,0.3395344913005829,0.6793956160545349,0.39300066059825906,1.8429145812988281,0.9228826761245728
ccstytr,000000009448__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.png,000000009448__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,000000009448,Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter,0.4421643018722534,0.6311984062194824,0.566664897433642,1.1844974756240845,0.6290572881698608
