method,content,style,ocr_sim,n_gt
adain,361,western_painting__met_383787,0.0625,8
sanet,361,western_painting__met_383787,0.125,8
cast,361,western_painting__met_383787,0.2674,8
stytr2,361,western_painting__met_406721,0.3472,8
adain,361,western_painting__met_406721,0.0,8
sanet,361,western_painting__met_406721,0.3587,8
cast,361,western_painting__met_406721,0.125,8
stytr2,361,western_painting__met_437769,0.175,8
adain,361,western_painting__met_437769,0.0625,8
sanet,361,western_painting__met_437769,0.0938,8
cast,361,western_painting__met_437769,0.125,8
stytr2,361,western_painting__met_437967,0.0938,8
adain,361,western_painting__met_437967,0.0,8
sanet,361,western_painting__met_437967,0.2049,8
cast,361,western_painting__met_437967,0.0938,8
stytr2,361,western_painting__met_439405,0.125,8
adain,361,western_painting__met_439405,0.0,8
sanet,361,western_painting__met_439405,0.0938,8
